Name                                 IS_Rad        IS_x        IS_y        IS_z      ES_Rad        ES_x        ES_y        ES_z  Sphericity         BSR    Round DP  Round MaxC      Length       Width       Thick          D2          D3    Corey SF         ASF         MPS         ESF     Hofmann
MA108A-7-fine-anm-00368.dat           0.121     -0.0448    5.48e-18      0.0145       0.238      0.0379    -0.00974     -0.0127       0.842       0.509       0.826       0.345       0.478       0.317       0.329       0.317       0.329       0.845       0.973       0.894       0.862       0.983
MA108A-7-fine-anm-00371.dat          0.0555      0.0239      0.0376     -0.0085       0.146     0.00383    -0.00603     0.00591       0.761        0.38       0.727        0.37       0.289       0.255       0.151       0.255       0.151       0.554       0.927       0.675        0.63       0.969
MA108A-7-fine-anm-00374.dat          0.0652      0.0572     -0.0315      0.0125       0.177     -0.0154     0.00848      0.0165        0.77       0.368       0.724       0.408        0.35       0.321       0.159        0.32        0.16       0.478        0.89       0.612       0.554       0.955
MA108A-7-fine-anm-00377.dat          0.0694      0.0257     -0.0066    -0.00682       0.151    -0.00562      0.0119     0.00252       0.795       0.459       0.781       0.325       0.305       0.249       0.206       0.249       0.206       0.748       0.978       0.824       0.803       0.988
MA108A-7-fine-anm-00380.dat          0.0912     -0.0223    -0.00282     0.00142       0.158    -0.00675     0.00173       0.011       0.857       0.576       0.853        0.29       0.318       0.246       0.217       0.238       0.222       0.809        0.98       0.868       0.846       0.988
MA108A-7-fine-anm-00383.dat          0.0561      0.0179    -0.00226     0.00227       0.139     0.00922     -0.0067     0.00451       0.763       0.403       0.734       0.347       0.279       0.257       0.146       0.255       0.149       0.556       0.929       0.676       0.633        0.97
MA108A-7-fine-anm-00386.dat          0.0861      0.0215     -0.0156     0.00681       0.166   -0.000523    -0.00831     -0.0131       0.845       0.519       0.835       0.326       0.331       0.266       0.206       0.266       0.206       0.694       0.967       0.784       0.756       0.983
MA108A-7-fine-anm-00389.dat           0.104   -0.000998     0.00212    -0.00194       0.202     0.00582     -0.0179      -0.012       0.846       0.514       0.833       0.328       0.401       0.269       0.268       0.265       0.263       0.807       0.969       0.867       0.832       0.981
MA108A-7-fine-anm-00393.dat          0.0855     -0.0557      0.0405    4.22e-18       0.226     0.00233    -0.00716    -0.00298       0.811       0.378       0.767        0.46       0.444       0.407       0.201       0.407       0.201       0.474       0.887       0.608       0.549       0.954
MA108A-7-fine-anm-00396.dat          0.0731      0.0191     -0.0105     0.00708       0.152    -0.00733      0.0116     -0.0216       0.811        0.48       0.798       0.313       0.306       0.248       0.188       0.248       0.188       0.682       0.965       0.775       0.746       0.983
MA108A-7-fine-anm-00399.dat          0.0718   -0.000925      0.0147   -0.000927       0.164    -0.00415     0.00164     0.00145         0.8       0.439       0.777       0.338       0.327       0.245       0.187       0.245       0.187       0.659       0.956       0.757       0.719       0.976
MA108A-7-fine-anm-00402.dat           0.184        -0.1     -0.0258     -0.0131       0.354    -0.00972     -0.0117    -0.00838       0.896       0.521       0.881       0.464       0.716       0.597       0.417       0.597       0.417       0.638       0.955       0.741       0.707       0.979
MA108A-7-fine-anm-00405.dat          0.0823     -0.0012       0.019     -0.0012       0.193     0.00493     0.00358       0.013        0.83       0.427       0.802       0.398       0.381       0.307       0.201       0.307       0.201       0.587       0.937       0.701       0.658       0.971
MA108A-7-fine-anm-00408.dat           0.107    -0.00247       0.013    -0.00959       0.195      0.0102     0.00559     0.00638       0.881       0.551       0.875        0.33       0.391       0.281       0.272       0.281       0.272        0.82       0.978       0.876       0.851       0.987
MA108A-7-fine-anm-00411.dat          0.0716    -0.00369    -0.00446     0.00188       0.128     0.00367     0.00578    -0.00434       0.796       0.559       0.789       0.288       0.252       0.202       0.181       0.202       0.181       0.803       0.984       0.864       0.847       0.991
MA108A-7-fine-anm-00414.dat          0.0986   -0.000149     0.00236     0.00172       0.168    -0.00511     0.00618      -0.011       0.856       0.588       0.852       0.291       0.341       0.284       0.251       0.283       0.253       0.813       0.987       0.871       0.858       0.993
MA108A-7-fine-anm-00417.dat           0.106      0.0112     -0.0135     0.00966       0.163     0.00533       0.005     0.00686       0.892       0.653       0.893       0.317       0.321       0.294       0.257       0.292       0.253       0.826       0.991       0.881       0.872       0.996
MA108A-7-fine-anm-00420.dat           0.111     0.00289     0.00889    0.000588       0.175     0.00359     -0.0188     0.00492       0.883       0.635       0.883       0.306       0.349       0.281       0.263       0.281       0.263       0.839       0.988        0.89       0.876       0.993
MA108A-7-fine-anm-00423.dat          0.0801    -0.00944     0.00887    -0.00333       0.129    0.000513    -0.00815       5e-19       0.818       0.619       0.816       0.282       0.256       0.236        0.19       0.236       0.194        0.79       0.988       0.854       0.843       0.994
MA108A-7-fine-anm-00426.dat          0.0828     -0.0038     0.00807      0.0042       0.146     0.00254    -0.00783     0.00387       0.831       0.568       0.826       0.306       0.291       0.271        0.22       0.267        0.22       0.787       0.987       0.853       0.841       0.994
MA108A-7-fine-anm-00429.dat          0.0553      0.0454       0.018    2.99e-18       0.171      0.0016    0.000202     -0.0127       0.746       0.324        0.71       0.374       0.346       0.246       0.161       0.244       0.161       0.553       0.918       0.674       0.615       0.958
MA108A-7-fine-anm-00432.dat          0.0685     0.00108      0.0017   -0.000383       0.161     0.00062     0.00986      -0.021       0.814       0.425       0.793       0.337       0.323       0.229       0.174       0.227       0.176        0.65       0.949       0.751       0.706       0.972
MA108A-7-fine-anm-00435.dat           0.118       0.035    -0.00898     0.00227       0.201     -0.0105    -0.00269     0.00351       0.863       0.589       0.852       0.345       0.401       0.339       0.302       0.339       0.298       0.809       0.987       0.868       0.855       0.993
MA108A-7-fine-anm-00438.dat          0.0706    -0.00739     -0.0157     0.00955       0.136      0.0082    -0.00104      0.0114       0.775       0.521       0.763       0.307       0.268       0.241       0.183       0.241       0.183       0.722       0.977       0.805       0.786       0.989
MA108A-7-fine-anm-00441.dat          0.0726     -0.0461    5.64e-18     0.00879       0.152     0.00373     0.00148    0.000253       0.826       0.478       0.811       0.325       0.306       0.229       0.193       0.228       0.193       0.729        0.97        0.81        0.78       0.983
MA108A-7-fine-anm-00444.dat          0.0755     -0.0285    -0.00361    1.76e-18       0.161     0.00401     -0.0123    -0.00333       0.827        0.47       0.811       0.317       0.322       0.241       0.189       0.241       0.189        0.68        0.96       0.774       0.738       0.979
MA108A-7-fine-anm-00447.dat          0.0817     -0.0152     0.00836    -0.00331       0.136    -0.00455      0.0055     0.00453       0.839       0.603       0.837        0.29       0.274       0.228        0.22       0.226       0.208       0.835       0.989       0.887       0.875       0.994
MA108A-7-fine-anm-00450.dat          0.0723    -0.00684    0.000865   -0.000871       0.125     0.00587     0.00323      0.0122       0.816       0.578       0.813       0.287       0.252       0.196       0.212       0.196       0.212       0.958       0.991       0.972       0.961       0.995
MA108A-7-fine-anm-00453.dat           0.117      0.0084     0.00462    -0.00793       0.173    -0.00022     0.00349      0.0108       0.899       0.677       0.901       0.312       0.343       0.301       0.294       0.294       0.309       0.975       0.996       0.983       0.979       0.998
MA108A-7-fine-anm-00456.dat          0.0777     -0.0464     -0.0337    -0.00724       0.177    -0.00327      0.0171    -0.00958       0.829       0.439       0.802       0.356       0.356       0.237       0.195       0.237       0.195       0.673       0.951       0.768        0.72        0.97
MA108A-7-fine-anm-00459.dat           0.069     -0.0243     0.00624    -0.00479       0.152    -0.00273     -0.0143     0.00278       0.809       0.453       0.795       0.306       0.303       0.237       0.182       0.237       0.182       0.679       0.963       0.773       0.741       0.981
MA108A-7-fine-anm-00462.dat          0.0774     -0.0524    6.42e-18    3.21e-18       0.159    -0.00132     0.00691     -0.0085       0.843       0.486       0.828       0.342       0.321        0.27       0.197        0.27       0.197       0.671       0.964       0.766       0.738       0.983
MA108A-7-fine-anm-00465.dat          0.0802     -0.0799     -0.0101    4.93e-18       0.199     -0.0112      0.0136     0.00452       0.824       0.403       0.788        0.38       0.399        0.27       0.196       0.269       0.192       0.587       0.928       0.701       0.643        0.96
MA108A-7-fine-anm-00468.dat          0.0758     -0.0182      0.0023      0.0047       0.146     0.00339     -0.0177      -0.017       0.825       0.519       0.814       0.303       0.292       0.226       0.173       0.226       0.173       0.675       0.961        0.77       0.736        0.98
MA108A-7-fine-anm-00471.dat           0.117      0.0238      0.0505    -0.00351       0.256     -0.0148     -0.0456      -0.019       0.798       0.457       0.759       0.374       0.513       0.355       0.283       0.354       0.283       0.665       0.952       0.762       0.717       0.972
MA108A-7-fine-anm-00474.dat          0.0628     -0.0204      0.0321     0.00239       0.126    -0.00262    -0.00191     0.00689       0.804       0.497       0.794       0.303       0.249       0.236       0.167       0.236       0.168       0.692       0.972       0.782        0.76       0.987
MA108A-7-fine-anm-00477.dat           0.078     -0.0176     0.00223    -0.00976       0.153     0.00815    -0.00448    -0.00302       0.803       0.511       0.797       0.312       0.306       0.263       0.262       0.248       0.243       0.882       0.991       0.919       0.909       0.995
MA108A-7-fine-anm-00480.dat          0.0784     0.00944      -0.029      0.0121       0.183     0.00119     0.00625     0.00163       0.787       0.428       0.764       0.359       0.356       0.299        0.19       0.299        0.19       0.581       0.937       0.696       0.654       0.971
MA108A-7-fine-anm-00483.dat           0.124     0.00149    -0.00316     0.00742       0.182     0.00396           0    -0.00251       0.904       0.681       0.906       0.322       0.355       0.329       0.294       0.329       0.294        0.86       0.995       0.904       0.899       0.997
MA108A-7-fine-anm-00486.dat            0.07      0.0049     -0.0046    -0.00427        0.14     0.00153      -0.008     0.00448       0.813       0.501         0.8       0.302        0.28       0.195       0.203       0.192       0.207       0.891       0.978       0.926         0.9       0.987
MA108A-7-fine-anm-00489.dat          0.0898     -0.0415    5.08e-18     0.00261       0.262     -0.0186      0.0293     0.00661       0.786       0.343       0.738       0.371       0.529       0.287        0.22       0.287        0.22       0.565       0.902       0.683       0.595       0.935
MA108A-7-fine-anm-00492.dat          0.0752      0.0275     0.00348    -0.00174       0.144     -0.0111     0.00806      0.0146         0.8       0.521       0.789        0.29       0.287       0.211       0.201       0.211       0.201       0.818        0.98       0.875       0.852       0.988
MA108A-7-fine-anm-00495.dat          0.0663      0.0437     0.00552     -0.0242       0.163    -0.00449     -0.0138     0.00799       0.774       0.406       0.741       0.347       0.326       0.247       0.193       0.246       0.195       0.688       0.963       0.779       0.746        0.98
MA108A-7-fine-anm-00499.dat          0.0932     -0.0235      0.0129    -0.00168       0.191      0.0137     -0.0216     0.00488       0.834       0.488       0.816       0.328       0.382        0.26       0.237       0.259       0.235       0.747       0.965       0.823       0.786       0.979
MA108A-7-fine-anm-00502.dat          0.0747     -0.0269     -0.0069    -0.00712       0.161     0.00958     0.00121    -0.00798       0.757       0.464        0.73       0.333       0.321       0.283       0.203       0.282       0.205        0.68       0.967       0.773       0.748       0.985
MA108A-7-fine-anm-00505.dat           0.102      0.0393     -0.0101    2.48e-18       0.191     -0.0189    2.31e-18     0.00614       0.845       0.534       0.825       0.363       0.382       0.307       0.233       0.307       0.233        0.68       0.964       0.773       0.743       0.982
MA108A-7-fine-anm-00508.dat          0.0854      0.0257     -0.0141    1.79e-18       0.174     -0.0108    -0.00429    -0.00548       0.829       0.492       0.807       0.349       0.346       0.253       0.202       0.253       0.202       0.682       0.959       0.775       0.738       0.977
MA108A-7-fine-anm-00511.dat            0.12     0.00857      0.0182     0.00384       0.202     0.00548     -0.0287      0.0095       0.894       0.594        0.89       0.351       0.402       0.317       0.294       0.317       0.294       0.824       0.985       0.879       0.863       0.992
MA108A-7-fine-anm-00514.dat           0.106     0.00456     -0.0725     -0.0139       0.269      0.0116      0.0357     0.00474       0.793       0.393       0.745       0.431        0.54       0.434       0.242       0.434       0.242       0.501       0.899       0.631       0.572       0.956
MA108A-7-fine-anm-00517.dat           0.144   -0.000317    -0.00503     0.00795        0.28      0.0247     0.00311       -0.03       0.854       0.513       0.832       0.397       0.558       0.428       0.378       0.428       0.378       0.773       0.978       0.843        0.82       0.988
MA108A-7-fine-anm-00520.dat          0.0951      0.0226     -0.0356      0.0108        0.24     0.00107    0.000781    0.000965       0.831       0.396       0.799       0.384       0.481       0.306       0.243       0.305       0.229       0.598       0.927       0.709       0.646       0.957
MA108A-7-fine-anm-00523.dat          0.0744     -0.0188    -0.00238     0.00362        0.14   -0.000187    -0.00298    -0.00753       0.797       0.533       0.789       0.325       0.281       0.257       0.206       0.255       0.207       0.772       0.985       0.842       0.829       0.993
MA108A-7-fine-anm-00526.dat          0.0735      0.0104     -0.0164      0.0107       0.152    -0.00601     -0.0128    -0.00362       0.793       0.484       0.777       0.314       0.304       0.247       0.203       0.244        0.19       0.699       0.968       0.788        0.76       0.984
MA108A-7-fine-anm-00529.dat          0.0788     -0.0131    -0.00955      0.0031        0.13     0.00164    -0.00154    -0.00692       0.832       0.607        0.83       0.287       0.259       0.234        0.22       0.234        0.22       0.892       0.996       0.927       0.923       0.998
MA108A-7-fine-anm-00532.dat           0.103     -0.0438     -0.0241     0.00631        0.25    -0.00511   -0.000645       0.027       0.841        0.41       0.796       0.424         0.5       0.283        0.28       0.283        0.28       0.745       0.945       0.822       0.759       0.963
MA108A-7-fine-anm-00535.dat          0.0704      0.0268      0.0195    -0.00209        0.16     -0.0133    -0.00341   -0.000864       0.797       0.439       0.773       0.333       0.323       0.244       0.177       0.243       0.175       0.625       0.947       0.731       0.688       0.973
MA108A-7-fine-anm-00539.dat          0.0814   -0.000175     0.00277    -0.00153       0.142    -0.00054    -0.00858      0.0104       0.839       0.574       0.832       0.301       0.274       0.268       0.201       0.268       0.201        0.74       0.981       0.818       0.803       0.991
MA108A-7-fine-anm-00542.dat          0.0833      0.0343    -0.00433      0.0066       0.164    -0.00675     0.00634    -0.00301       0.851       0.508        0.84       0.336       0.321       0.263       0.222       0.261       0.205       0.707       0.971       0.794       0.768       0.985
MA108A-7-fine-anm-00547.dat          0.0739    -0.00506     0.00798    -0.00374       0.163     0.00809     0.00102      0.0148       0.792       0.452       0.774       0.301       0.329        0.21        0.17        0.21        0.17       0.647       0.941       0.748       0.692       0.964
MA108A-7-fine-anm-00550.dat          0.0682      0.0266     -0.0193      0.0107       0.148    -0.00897      0.0023    -0.00367       0.836       0.462       0.817        0.34       0.295       0.255       0.151       0.254       0.148       0.539        0.92       0.662       0.614       0.965
MA108A-7-fine-anm-00553.dat          0.0871      0.0212           0     0.00268       0.159    0.000791     -0.0126     -0.0118       0.854       0.549       0.846       0.319       0.315       0.272       0.219       0.268       0.214       0.734       0.977       0.814       0.794       0.989
MA108A-7-fine-anm-00556.dat          0.0622     -0.0694    -0.00877      0.0044       0.179     0.00312      0.0164      0.0021       0.773       0.347       0.733       0.358       0.359       0.233       0.163       0.233       0.163       0.563       0.917       0.682       0.616       0.953
MA108A-7-fine-anm-00559.dat          0.0804      0.0714    -0.00902      0.0137       0.216     -0.0294     -0.0276      -0.019       0.715       0.372       0.625        0.35       0.434       0.242       0.226       0.242       0.226       0.695       0.937       0.785       0.715       0.957
MA108A-7-fine-anm-00562.dat          0.0955      0.0714      0.0183     0.00464       0.208     0.00454    -0.00966      0.0168       0.851       0.459       0.825       0.419       0.415       0.336       0.227       0.335       0.227       0.609       0.945       0.718       0.678       0.974
MA108A-7-fine-anm-00565.dat          0.0752     -0.0193     0.00763      0.0172       0.158    0.000732      0.0116     0.00299        0.82       0.475       0.808       0.313       0.313       0.245       0.215       0.245       0.215       0.779        0.98       0.846       0.826       0.989
MA108A-7-fine-anm-00568.dat           0.081     -0.0473     0.00598    2.92e-18       0.195    0.000949     -0.0151      0.0161       0.804       0.416       0.768       0.345       0.394       0.232       0.217       0.228       0.218       0.728       0.946       0.809       0.749       0.964
MA108A-7-fine-anm-00571.dat          0.0939      0.0383    -0.00982     -0.0156       0.212     0.00478       0.025    1.56e-18       0.847       0.444       0.818       0.399       0.425       0.302       0.236       0.302       0.234       0.654       0.951       0.754        0.71       0.973
MA108A-7-fine-anm-00574.dat          0.0759     -0.0939    1.15e-17      0.0179       0.253       0.012      0.0369      0.0074        0.73         0.3       0.617       0.404       0.508       0.234        0.19       0.231       0.192        0.56       0.881        0.68       0.563       0.912
MA108A-7-fine-anm-00577.dat            0.11     0.00446     -0.0137    8.84e-19       0.229     0.00874           0     0.00723       0.862       0.478        0.84       0.405       0.446       0.384       0.259       0.384       0.255       0.618        0.95       0.725        0.69       0.977
MA108A-7-fine-anm-00580.dat          0.0905      0.0188    -0.00238     0.00362       0.178     -0.0102    -0.00562     -0.0248       0.836       0.508       0.819       0.331       0.358       0.244        0.22       0.239        0.22       0.751       0.964       0.826       0.787       0.978
MA108A-7-fine-anm-00583.dat          0.0813    -0.00735    -0.00889    7.06e-19       0.189    -0.00105     -0.0168    -0.00212       0.823        0.43       0.801       0.378       0.373       0.303       0.202       0.303       0.202       0.602       0.943       0.713       0.672       0.973
MA108A-7-fine-anm-00586.dat          0.0945     -0.0544      -0.014      0.0182       0.213     0.00487     -0.0104    -0.00831       0.834       0.443       0.808       0.379       0.426       0.331       0.241        0.33       0.239       0.637       0.952        0.74       0.702       0.976
MA108A-7-fine-anm-00589.dat           0.081    0.000253     0.00402      0.0102       0.136     0.00592    -0.00325    -0.00558       0.823       0.597       0.821       0.284       0.267       0.228       0.218       0.227       0.215       0.872       0.993       0.913       0.905       0.996
MA108A-7-fine-anm-00592.dat          0.0799    -0.00909      0.0066    -0.00214       0.163    -0.00152     0.00184      0.0189       0.832        0.49       0.819       0.329       0.326       0.257       0.192       0.257       0.194       0.671       0.961       0.767       0.734        0.98
MA108A-7-fine-anm-00595.dat           0.085     -0.0254      0.0032     0.00831       0.172    -0.00461    -0.00433     -0.0246       0.841       0.495       0.827       0.346       0.337       0.306       0.209       0.306       0.209       0.652       0.961       0.752       0.724       0.983
MA108A-7-fine-anm-00598.dat          0.0931      0.0119      0.0143    -0.00604       0.175    -0.00579     -0.0178    1.15e-18       0.849       0.532       0.838       0.325       0.351       0.251       0.217       0.248       0.218        0.74       0.968       0.818       0.785       0.981
MA108A-7-fine-anm-00601.dat           0.081     0.00782      0.0241     -0.0032       0.146     0.00173    -0.00532    -0.00263       0.837       0.553        0.83       0.317       0.291       0.267         0.2       0.265         0.2        0.72       0.977       0.803       0.784       0.989
MA108A-7-fine-anm-00604.dat          0.0714     -0.0117    -0.00852     0.00797       0.127    -0.00112    -0.00345    -0.00386       0.813       0.562       0.807       0.285        0.25       0.203       0.182       0.202       0.191        0.85       0.989       0.898       0.885       0.994
MA108A-7-fine-anm-00607.dat          0.0608      0.0367    -0.00463     0.00467       0.139    -0.00169    -0.00883     -0.0109       0.795       0.438       0.773       0.326       0.277       0.218       0.162       0.216       0.159       0.648       0.955       0.749       0.713       0.977
MA108A-7-fine-anm-00610.dat           0.089     0.00675    -0.00634    -0.00436       0.165     0.00487     0.00354     0.00828        0.85        0.54        0.84       0.312        0.33       0.249       0.187       0.244       0.188       0.663       0.956       0.761       0.722       0.976
MA108A-7-fine-anm-00612.dat          0.0686      0.0227     0.00899     0.00627       0.149    -0.00315   -0.000397    -0.00801       0.803       0.459       0.777       0.362       0.299        0.27       0.169       0.268        0.17         0.6       0.945       0.712       0.675       0.976
MA108A-7-fine-anm-00613.dat          0.0646      0.0107     -0.0169     0.00253       0.131   -0.000901    -0.00472     0.00226       0.804       0.493       0.787       0.321       0.262       0.236       0.161       0.236       0.161       0.645       0.959       0.747       0.717       0.982
